thres	recall	precision	correct	recognized	all
thres:5.204794	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.215526	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.226257	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.236989	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.247720	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.258452	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.269183	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.279915	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.290646	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.301378	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.312110	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.322841	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.333573	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.344304	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.355036	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
