thres	recall	precision	correct	recognized	all
thres:1.175181	0.271169	0.410922	correct:2152.000000	recognized:5237.000000	all:7936.000000
thres:1.185674	0.267389	0.411081	correct:2122.000000	recognized:5162.000000	all:7936.000000
thres:1.196167	0.262223	0.409002	correct:2081.000000	recognized:5088.000000	all:7936.000000
thres:1.206659	0.259703	0.409579	correct:2061.000000	recognized:5032.000000	all:7936.000000
thres:1.217152	0.255796	0.411514	correct:2030.000000	recognized:4933.000000	all:7936.000000
thres:1.227645	0.252394	0.412140	correct:2003.000000	recognized:4860.000000	all:7936.000000
thres:1.238137	0.245338	0.412937	correct:1947.000000	recognized:4715.000000	all:7936.000000
thres:1.248630	0.242692	0.414015	correct:1926.000000	recognized:4652.000000	all:7936.000000
thres:1.259123	0.240549	0.413920	correct:1909.000000	recognized:4612.000000	all:7936.000000
thres:1.269615	0.235887	0.412335	correct:1872.000000	recognized:4540.000000	all:7936.000000
thres:1.280108	0.232737	0.411817	correct:1847.000000	recognized:4485.000000	all:7936.000000
thres:1.290601	0.230217	0.414098	correct:1827.000000	recognized:4412.000000	all:7936.000000
thres:1.301094	0.227193	0.413817	correct:1803.000000	recognized:4357.000000	all:7936.000000
thres:1.311586	0.222404	0.413155	correct:1765.000000	recognized:4272.000000	all:7936.000000
thres:1.322079	0.218246	0.482855	correct:1732.000000	recognized:3587.000000	all:7936.000000
thres:1.332572	0.214592	0.483807	correct:1703.000000	recognized:3520.000000	all:7936.000000
thres:1.343064	0.211568	0.487798	correct:1679.000000	recognized:3442.000000	all:7936.000000
thres:1.353557	0.209551	0.498501	correct:1663.000000	recognized:3336.000000	all:7936.000000
thres:1.364050	0.206653	0.500000	correct:1640.000000	recognized:3280.000000	all:7936.000000
thres:1.374542	0.204259	0.500000	correct:1621.000000	recognized:3242.000000	all:7936.000000
thres:1.385035	0.203125	0.501556	correct:1612.000000	recognized:3214.000000	all:7936.000000
thres:1.395528	0.197455	0.498727	correct:1567.000000	recognized:3142.000000	all:7936.000000
thres:1.406020	0.195186	0.499034	correct:1549.000000	recognized:3104.000000	all:7936.000000
thres:1.416513	0.192918	0.498860	correct:1531.000000	recognized:3069.000000	all:7936.000000
thres:1.427006	0.190776	0.499670	correct:1514.000000	recognized:3030.000000	all:7936.000000
thres:1.437499	0.187752	0.500504	correct:1490.000000	recognized:2977.000000	all:7936.000000
thres:1.447991	0.184854	0.503086	correct:1467.000000	recognized:2916.000000	all:7936.000000
thres:1.458484	0.183216	0.501379	correct:1454.000000	recognized:2900.000000	all:7936.000000
thres:1.468977	0.181200	0.500174	correct:1438.000000	recognized:2875.000000	all:7936.000000
thres:1.479469	0.178427	0.500177	correct:1416.000000	recognized:2831.000000	all:7936.000000
thres:1.489962	0.173639	0.497832	correct:1378.000000	recognized:2768.000000	all:7936.000000
thres:1.500455	0.172001	0.497812	correct:1365.000000	recognized:2742.000000	all:7936.000000
thres:1.510947	0.171119	0.498349	correct:1358.000000	recognized:2725.000000	all:7936.000000
thres:1.521440	0.170363	0.498341	correct:1352.000000	recognized:2713.000000	all:7936.000000
thres:1.531933	0.168095	0.496834	correct:1334.000000	recognized:2685.000000	all:7936.000000
